"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"circ_0003645","non small cell lung cancer","luciferase reporter assay","up-regulated","","","","30853176","details","","","","",""
"circ_0003998","lung adenocarcinoma","luciferase reporter assay","differential expressed","","","","30764896","details","","","","",""
"circ_0004015","non small cell lung cancer","qRT-PCR, Dual luciferase activity assay","up-regulated","","","","30509491","details","","","","",""
"circ_0005962","lung adenocarcinoma","qPCR","up-regulated","","","","30777071","details","","","","",""
"circ_0006168","small cell lung cancer","qRT-PCR , Dual luciferase reporter assay , RIP , circRNA Microarray , CCK-8 assay , colony formation assay , transwell assays , RNase R treatment assay","up-regulated","","","","31229921","details","","","","",""
"circ_0006427","lung adenocarcinoma","qRT-PCR, Cell proliferation assays, Transwell migration and invasion assays, Animal experiments, Western blot, Immunofluorescence assay, FISH, circRNA in vivo precipitation (circRIP), Luciferase reporter assay","down-regulated","","","","30470570","details","","","","",""
"circ_0006867","non small cell lung cancer","qPCR","down-regulated","","","","32328186","details","","","","",""
"circ_0007059","lung cancer","qRT-PCR , Western blotting , cell apoptosis assay","up-regulated","","","","31351967","details","","","","",""
"circ_0007385","non small cell lung cancer","qPCR, luciferase reporter assay, Microarray, other","up-regulated","","","","29372377","details","","","","",""
"circ_0007534","non small cell lung cancer","qPCR, other","up-regulated","","","","30017736","details","","","","",""
"circ_0008274","lung adenocarcinoma","qPCR","differential expressed","","","","32308427","details","","","","",""
"circ_0008305","non small cell lung cancer","qRT-PCR, Western blot, Northern blot with denaturing agarose gels, Luciferase reporter assay, RIP, RNA pull-down analysis, Fish","down-regulated","","","","30261900","details","","","","",""
"circ_000984","non small cell lung cancer","qRT-PCR , western blot , CCK-8 , colony formation assay , cell apoptosis analysis , wound healing assays , transwell invasion assay","up-regulated","","","","31081091","details","","","","",""
"circ_0012673","lung cancer","qPCR","up-regulated","","","","32141553","details","","","","",""
"circ_0012673","Lung Adenocarcinoma","qPCR, western blot, luciferase reporter assay, other","up-regulated","","","","29366790","details","","","","",""
"circ_0013958","lung adenocarcinoma","RT-PCR, Cell proliferation assay, Cell migration and invasion assays, Flow cytometry analysis, Western blotting analysis, Luciferase reporter assay, RNA-FISH","up-regulated","","","","28685964","details","","","","",""
"circ_0014130","non small cell lung cancer","qPCR, western blot","up-regulated","","","","32060230","details","","","","",""
"circ_0014130","non small cell lung cancer","qPCR, MTT assay or flow cytometry","up-regulated","","","","31916848","details","","","","",""
"circ_0014130","non small cell lung cancer","qPCR, Microarray, other","up-regulated","","","","29440731","details","","","","",""
"circ_0014235","lung squamous cell carcinoma","qPCR","up-regulated","","","","32309852","details","","","","",""
"circ_001569","non small cell lung cancer","qPCR, western blot, other","up-regulated","","","","29928432","details","","","","",""
"circ_001640","Lung Adenocarcinoma","qPCR","down-regulated","","","","29241190","details","","","","",""
"circ_0016760","non small cell lung cancer","qRT-PCR, Cell proliferation assays, Cell apoptosis determination, Transwell assay, Western blot, Animal study, luciferase reporter assay","up-regulated","","","","30103946","details","","","","",""
"circ_0016760","non small cell lung cancer","qPCR, western blot, other","up-regulated","","","","30103946","details","","","","",""
"circ_0018818","non small cell lung cancer","flow cytometry","up-regulated","","","","32357143","details","","","","",""
"circ_0020123","non small cell lung cancer","qRT-PCR , Dual luciferase reporter assay , cell growth detection , cell apoptosis assay , immunoblotting assay , cell migration and invasion assay","up-regulated","","","","31153639","details","","","","",""
"circ_0020123","non small cell lung cancer","Knockdown of hsa_circ_0020123, Overexpression of hsa_circ_0020123, qRT-PCR, RNA in vivo precipitation, In vivo xenograft experiments, CCK-8 assay, Apoptosis assay, Migration and invasion assay, Dual luciferase assay","up-regulated","","","","30210911","details","","","","",""
"circ_0020123","non small cell lung cancer","qPCR, luciferase reporter assay, Microarray, other","up-regulated","","","","30210911","details","","","","",""
"circ_002178","lung adenocarcinoma","qPCR","up-regulated","","","","31949130","details","","","","",""
"circ_0023404","non small cell lung cancer","qPCR, CCK-8 assay, transwell migration, invasion assay and Luciferase reporter assay","up-regulated","","","","31496723","details","","","","",""
"circ_0025036","lung adenocarcinoma","qRT-PCR, CCK-8 cell proliferation assay, Cell apoptosis assay, Cell cycle analysis, Dual luciferase reporter assay, Western blotting","up-regulated","","","","30138108","details","","","","",""
"circ_0025036","Lung Adenocarcinoma","qPCR, western blot, luciferase reporter assay, RNAi, other","up-regulated","","","","30138108","details","","","","",""
"circ_0025580","lung squamous cell carcinoma","qPCR","up-regulated","","","","32309852","details","","","","",""
"circ_0026134","non small cell lung cancer","qPCR","up-regulated","","","","30970529","details","","","","",""
"circ_0033155","non small cell lung cancer","RT?qPCR, Cell proliferation assay, Colony formation assay, Migration assay, Western blot","down-regulated","","","","30214545","details","","","","",""
"circ_0033155","non small cell lung cancer","qPCR, western blot, other","down-regulated","","","","30214545","details","","","","",""
"circ_0037515","non small cell lung cancer","qPCR","down-regulated","","","","32051745","details","","","","",""
"circ_0037516","non small cell lung cancer","qPCR","down-regulated","","","","32051745","details","","","","",""
"circ_0043278","non small cell lung cancer","qPCR","down-regulated","","","","30873868","details","","","","",""
"circ_0056616","lung adenocarcinoma","qPCR","up-regulated","","","","32368286","details","","","","",""
"circ_0062389","non small cell lung cancer","qPCR","up-regulated","","","","31962276","details","","","","",""
"circ_006411","Lung Adenocarcinoma","qPCR","down-regulated","","","","29241190","details","","","","",""
"circ_0067934","non small cell lung cancer","qPCR, western blot, other","up-regulated","","","","29863250","details","","","","",""
"circ_0072088","lung adenocarcinoma","qPCR","differential expressed","","","","32308427","details","","","","",""
"circ_0074027","non small cell lung cancer","qPCR, CCK-8 and Dual luciferase reporter assay","up-regulated","","","","31680319","details","","","","",""
"circ_0075930","non small cell lung cancer","qPCR, western blot, other","up-regulated","","","","29689350","details","","","","",""
"circ_0076305","non small cell lung cancer","qPCR, western blot","up-regulated","","","","31647948","details","","","","",""
