"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"LOC730101","lung cancer","qPCR, Western blot etc.","up-regulated","","","","28943432","details","","","","",""
"LOC90768","lung cancer","RNA-seq, Microarray, RIP, qPCR","up-regulated","","","","29448242","details","","","","",""
"LOXL1-AS1","lung adenocarcinoma","qRT-PCR, Western blot","up-regulated","","","","31758653","details","","","","",""
"LOXL1-AS1","non small cell lung cancer","qRT-PCR","up-regulated","","","","31737192","details","","","","",""
"LSINCT1","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT10","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT11","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT12","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT2","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT3","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT4","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT5","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, RNAi, RIP","up-regulated","","","","29883241","details","","","","",""
"LSINCT5","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT5","non small cell lung cancer","qPCR, RIP, Microarray, Western blot, etc.","up-regulated","","","","29883241","details","","","","",""
"LSINCT6","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT7","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT8","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LSINCT9","lung cancer","qPCR, Northern blot etc.","up-regulated","","","","20214974","details","","","","",""
"LUADT1","small cell lung cancer","RT-qPCR, Western blot","up-regulated","","","","31842825","details","","","","",""
"LUADT1","lung adenocarcinoma","Microarray, qPCR, RNAi, Western blot, RIP, Flow cytometry assay etc.","up-regulated","","","","26291312","details","","","","",""
"LUCAT1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31298373","details","","","","",""
"LUCAT1","non small cell lung cancer","qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","28423699","details","","","","",""
"MA-LINC1","lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","26337085","details","","","","",""
"MACC1-AS1","lung adenocarcinoma","qPCR, Western blot","up-regulated","","","","32109147","details","","","","",""
"MAFG-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30599080","details","","","","",""
"MAFG-AS1","Lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31211984","details","","","","",""
"MAGI2-AS3","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","32138716","details","","","","",""
"MAGI2-AS3","lung squamous cell carcinoma","RT-qPCR, Western blot","up-regulated","","","","32021443","details","","","","",""
"MAGI2-AS3","non small cell lung cancer","qPCR","down-regulated","","","","29922089","details","","","","",""
"MAGI2-AS3","non small cell lung cancer","qPCR","down-regulated","","","","31539127","details","","","","",""
"MAGI2-AS3","non small cell lung cancer","qRT-PCR, Western blot","down-regulated","","","","31910343","details","","","","",""
"MAGI2-AS3","non small cell lung cancer","qPCR, etc.","down-regulated","","","","29922089","details","","","","",""
"MALAT1","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32141554","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29928414","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29916897","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR","up-regulated","","","","29805668","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","29782349","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR","up-regulated","","","","30841025","details","","","","",""
"MALAT1","lung adenocarcinoma","RT-qPCR, Western blot","up-regulated","","","","31933847","details","","","","",""
"MALAT1","non small cell lung cancer","qRT-PCR, Western blot assay, Dual luciferase reporter gene assay, RIP","up-regulated","","","","31863664","details","","","","",""
"MALAT1","lung cancer","qRT-PCR , Luciferase reporter assay , Western blot etc.","up-regulated","","","","31133357","details","","","","",""
"MALAT1","lung cancer","qPCR","down-regulated","","","","30026840","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, other","up-regulated","","","","30250547","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31240979","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","down-regulated","","","","26946307","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR","up-regulated","","","","26139386","details","","","","",""
"MALAT1","lung cancer","qPCR etc.","down-regulated","","","","26137228","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR, Western blot, RIP, Luciferase reporter assayin vitro knockdown etc.","up-regulated","","","","29575609","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR etc.","differential expression","","","","20937273","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","27294002","details","","","","",""
"MALAT1","lung cancer","Western blot etc.","up-regulated","","","","29505924","details","","","","",""
"MALAT1","lung cancer","qPCR etc.","up-regulated","","","","29731641","details","","","","",""
"MALAT1","lung cancer","RNAi, qPCR etc.","up-regulated","","","","28615056","details","","","","",""
"MALAT1","lung cancer","qPCR, RNAi, Western blot, Dual luciferase reporter assay etc.","down-regulated","","","","25773124","details","","","","",""
"MALAT1","lung cancer","qPCR etc.","up-regulated","","","","23243023","details","","","","",""
"MALAT1","lung cancer","qPCR, Northern blot etc.","differential expression","","","","22491206","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","29215698","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","29439314","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28623135","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","28121347","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, RNAi etc.","up-regulated","","","","26884862","details","","","","",""
"MALAT1","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","24313945","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","22088988","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","12970751","details","","","","",""
"MALAT1","lung cancer","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","29484127","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, RNAi, Cell proliferation assay, Cell migration and invasion assay etc.","up-regulated","","","","27431200","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, RNAi, Luciferase reporter assay etc.","up-regulated","","","","26265046","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","25217850","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, western blot, Luciferase reporter assay","up-regulated","","","","29782349","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","29805668","details","","","","",""
"MALAT1","lung adenocarcinoma","qPCR, Western blot, RIP, ChIP, etc.","up-regulated","","","","29928414","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Western blot, Dual luciferase reporter assays, etc.","up-regulated","","","","29916897","details","","","","",""
"MALAT1","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot, RIP etc.","up-regulated","","","","29782349","details","","","","",""
"MBNL1-AS1","non small cell lung cancer","qRT-PCR, RIP","down-regulated","","","","32092823","details","","","","",""
"MBNL1-AS1","non small cell lung cancer","RT-PCR , Luciferase reporter assay , Western blot etc.","down-regulated","","","","31113460","details","","","","",""
"MCM3AP-AS1","lung cancer","qRT-PCR, RIP, Luciferase reporter assay, Western blot analysis","up-regulated","","","","31693222","details","","","","",""
"MED4-AS1","non small cell lung cancer","qPCR","up-regulated","","","","31638253","details","","","","",""
"MEG3","lung cancer","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","down-regulated","","","","31585300","details","","","","",""
"MEG3","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, other","down-regulated","","","","30280775","details","","","","",""
"MEG3","non small cell lung cancer","qPCR, Western blot, luciferase reporter assay, RIP etc.","down-regulated","","","","29123412","details","","","","",""
"MEG3","lung adenocarcinoma","Microarray, qPCR, Western blot etc.","down-regulated","","","","25992654","details","","","","",""
"MEG3","non small cell lung cancer","qPCR, Western blot etc.","down-regulated","","","","24098911","details","","","","",""
"MEG3","lung cancer","qPCR, RIP, ChIP, Cell migration assay etc.","up-regulated","","","","27852821","details","","","","",""
"MEG3","lung cancer","Microarray, qPCR, Cell transfection, Western blot etc.","down-regulated","","","","27832204","details","","","","",""
"MEG3","lung cancer","qPCR, RNAi, Western blot, MTT assay etc.","down-regulated","","","","26059239","details","","","","",""
"MEG3","lung cancer","qPCR, ISH etc.","down-regulated","","","","14602737","details","","","","",""
"MEG3","lung cancer","qRT-PCR, Western blot","down-regulated","","","","29509250","details","","","","",""
"MEG3","lung cancer","qPCR, Western blot, Cell proliferation assay etc.","down-regulated","","","","27453422","details","","","","",""
"MEG8","lung cancer","qPCR, RIP, other","up-regulated","","","","30262664","details","","","","",""
"Metalnc9","non small cell lung cancer","qPCR, Northern blot, RIP etc.","up-regulated","","","","28923857","details","","","","",""
"MGC27382","lung adenocarcinoma","RNA-seq, qPCR etc.","down-regulated","","","","27826625","details","","","","",""
"MGC45800","lung cancer","RNA-seq, Microarray, RIP, qPCR","up-regulated","","","","29448242","details","","","","",""
"MIAT","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","29795987","details","","","","",""
"MIAT","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","32345777","details","","","","",""
"MIAT","non small cell lung cancer","RT-qPCR, RNAi, Dual luciferase reporter assay, Western blot analysis","up-regulated","","","","31897168","details","","","","",""
"MIAT","non small cell lung cancer","qRT-PCR , in vitro knockdown etc.","up-regulated","","","","31081093","details","","","","",""
"MIAT","non small cell lung cancer","qPCR, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31298331","details","","","","",""
"MIAT","lung cancer","RNA-seq, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29487526","details","","","","",""
"MIAT","non small cell lung cancer","qPCR, luciferase reporter assay etc.","up-regulated","","","","28843520","details","","","","",""
"MIAT","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29228680","details","","","","",""
"MIAT","non small cell lung cancer","qPCR","differential expression","","","","29795987","details","","","","",""
"MINCR","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","31481083","details","","","","",""
"MIR17HG","non small cell lung cancer","qPCR, Western blot etc","down-regulated","","","","32228546","details","","","","",""
"MIR205HG","lung squamous cell carcinoma","qPCR, Western blot etc","up-regulated","","","","32188965","details","","","","",""
"MIR205HG","lung cancer","RNA-seq","up-regulated","","","","31548386","details","","","","",""
"MIR210HG","non small cell lung cancer","qRT-PCR , Western blot , RIP etc.","up-regulated","","","","31190878","details","","","","",""
"MIR22HG","lung squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","26159226","details","","","","",""
"MIR22HG","lung cancer","qPCR etc.","down-regulated","","","","29669758","details","","","","",""
"MIR31HG","lung adenocarcinoma","qPCR","up-regulated","","","","30125988","details","","","","",""
"MIR31HG","non small cell lung cancer","qPCR, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30659947","details","","","","",""
"MIR31HG","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30655759","details","","","","",""
"MIR31HG","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28529576","details","","","","",""
"MIR31HG","lung adenocarcinoma","qPCR, in vitro knockdown etc.","up-regulated","","","","29367106","details","","","","",""
"MIR4435-2HG","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29872866","details","","","","",""
"MIR4435-2HG","non small cell lung cancer","qRT-PCR, Western blot, Luciferase reporter analysis, RIP, RNA-seq","up-regulated","","","","31875359","details","","","","",""
"MIR4435-2HG","lung cancer","qPCR, RIP, Western blot etc.","up-regulated","","","","29872866","details","","","","",""
"MIR503HG","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","31983569","details","","","","",""
"MIR503HG","non small cell lung cancer","qPCR, Western blot etc","down-regulated","","","","32184667","details","","","","",""
"MIR503HG","non small cell lung cancer","qRT-PCR, Western blot","down-regulated","","","","31858550","details","","","","",""
"MNX1-AS1","non small cell lung cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31118668","details","","","","",""
"MNX1-AS1","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30618167","details","","","","",""
"MNX1-AS1","lung adenocarcinoma","qPCR, in vitro knockdown, etc.","up-regulated","","","","30506837","details","","","","",""
"MSTO2P","lung cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31081092","details","","","","",""
"MT1JP","Lung Cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","31342947","details","","","","",""
"MUC5B-AS1","lung cancer","qPCR, Western blot etc.","up-regulated","","","","29670111","details","","","","",""
"MVIH","non small cell lung cancer","qPCR, Western blot analysis","up-regulated","","","","31942179","details","","","","",""
"MVIH","non small cell lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","24793017","details","","","","",""
"MYCLo-4","lung cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYCLo-5","lung cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYCLo-6","lung cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYMLR","lung adenocarcinoma","Microarray, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","differential expression","","","","31361039","details","","","","",""
"NAG7","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25590602","details","","","","",""
"NBAT1","non small cell lung cancer","qPCR, Western blot, RNAi, RIP, other","up-regulated","","","","30323972","details","","","","",""
"NBAT1","lung cancer","qPCR, Western blot etc.","down-regulated","","","","29687849","details","","","","",""
"NBR2","non small cell lung cancer","qRT-PCR , Western blot etc.","down-regulated","","","","31599420","details","","","","",""
"NCRNA00210","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","up-regulated","","","","23741487","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29864936","details","","","","",""
"NEAT1","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29788922","details","","","","",""
"NEAT1","lung cancer","qPCR, Western blot, RIP etc.","up-regulated","","","","32296457","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Western blot, other","up-regulated","","","","30291867","details","","","","",""
"NEAT1","lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","31646570","details","","","","",""
"NEAT1","lung adenocarcinoma","qPCR","up-regulated","","","","26139386","details","","","","",""
"NEAT1","lung cancer","qPCR, RNAi etc.","differential expression","","","","25818739","details","","","","",""
"NEAT1","lung cancer","qPCR, Western blot etc.","up-regulated","","","","29152741","details","","","","",""
"NEAT1","lung cancer","RNA-seq, qPCR, RNAi, Luciferase reporter assay, Cell growth assay etc.","up-regulated","","","","28295289","details","","","","",""
"NEAT1","lung cancer","RNAi, qPCR etc.","up-regulated","","","","28615056","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Luciferase activity assay, Western blot etc.","up-regulated","","","","29095526","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Western blot, Dual luciferase reporter assay etc.","up-regulated","","","","27270317","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","25854373","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29085511","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, RNAi, Western blot, RNA pull-down assay etc.","up-regulated","","","","27351135","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","28762332","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, RNAi, Western blot, Cell migration and invasion assay, CCK-8 assay etc.","up-regulated","","","","28239820","details","","","","",""
"NEAT1","lung adenocarcinoma","qPCR, Western blot, ChIP etc.","up-regulated","","","","29788922","details","","","","",""
"NEAT1","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29864936","details","","","","",""
"NKILA","non small cell lung cancer","RT-qPCR, Western blotting","down-regulated","","","","31934087","details","","","","",""
"NKILA","non small cell lung cancer","qPCR, Western blot, RIP","down-regulated","","","","28412955","details","","","","",""
"NKX2-1-AS1","lung cancer","RNA-seq, qPCR","up-regulated","","","","30981459","details","","","","",""
"NKX2-1-AS1","lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, RNAi, Microarray, other","up-regulated","","","","30258080","details","","","","",""
"NLUCAT1","lung adenocarcinoma","qPCR, Microarray, RNA-seq, other","up-regulated","","","","31417181","details","","","","",""
"NNT-AS1","lung cancer","qPCR, in vitro knockdown, RIP","up-regulated","","","","29857296","details","","","","",""
"NNT-AS1","non small cell lung cancer","qRT-PCR, DualLuciferase Reporter Assay, Western blot","up-regulated","","","","31957837","details","","","","",""
"NNT-AS1","non small cell lung cancer","qRT-PCR, Western blot assay, Dual luciferase reporter assay","up-regulated","","","","31923353","details","","","","",""
"NNT-AS1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30070323","details","","","","",""
"NNT-AS1","lung cancer","qPCR etc.","differential expression","","","","29857296","details","","","","",""
"NONHSAG031748","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","27108960","details","","","","",""
"NONHSAT082241","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","27108960","details","","","","",""
"NONHSAT107900","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","27108960","details","","","","",""
"NONHSAT112228.2","lung cancer","RT-qPCR, Western blot","up-regulated","","","","32141418","details","","","","",""
"NORAD","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32110050","details","","","","",""
"NORAD","lung cancer","qPCR, Luciferase reporter assay, RIP","down-regulated","","","","30967631","details","","","","",""
"NORAD","non small cell lung cancer","RT-qPCR, Western blot, RIP, Luciferase reporter assay","up-regulated","","","","31894841","details","","","","",""
"NORAD","non small cell lung cancer","RT-qPCR, Western blot analysis, RIP etc.","up-regulated","","","","31059060","details","","","","",""
"NORAD","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31207175","details","","","","",""
"NR2F2-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30592135","details","","","","",""
"NR_026685","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"NR_028500","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","28076325","details","","","","",""
"NR_034174","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"NR_038125","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"NR_038200","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","25250788","details","","","","",""
"NR_046326","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","28076325","details","","","","",""
"NR_047562","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"NRG1","lung cancer","qPCR etc.","up-regulated","","","","22665269","details","","","","",""
"OECC","lung cancer","qPCR, other","up-regulated","","","","31452780","details","","","","",""
"OGFRP1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, RNAi, other","up-regulated","","","","30274775","details","","","","",""
"OIP5-AS1","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29897167","details","","","","",""
"OIP5-AS1","lung adenocarcinoma","qRT-PCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","29247949","details","","","","",""
"OIP5-AS1","lung cancer","qPCR, Western blot, RIP, Luciferase reporter assay, etc.","up-regulated","","","","29897167","details","","","","",""
"OR3A4","non small cell lung cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31173293","details","","","","",""
"OR3A4","non small cell lung cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","31378892","details","","","","",""
"P53RRA","non small cell lung cancer","qPCR, in vitro knockdown etc.","down-regulated","","","","29588351","details","","","","",""
"PANDAR","non small cell lung cancer","qPCR etc.","down-regulated","","","","28121347","details","","","","",""
"PANDAR","non small cell lung cancer","qPCR, Western blot, RIP etc.","down-regulated","","","","25719249","details","","","","",""
"PARROT","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay etc.","differential expression","","","","27129154","details","","","","",""
"PART1","non small cell lung cancer","qPCR etc.","up-regulated","","","","28819376","details","","","","",""
"PCAN-R1","non small cell lung cancer","qPCR etc.","up-regulated","","","","27322209","details","","","","",""
"PCAT1","non small cell lung cancer","PCR","down-regulated","","","","30980423","details","","","","",""
"PCAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30569478","details","","","","",""
"PCAT1","non small cell lung cancer","qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","26770456","details","","","","",""
"PCAT19","non small cell lung cancer","RT-qPCR, Western blotting","up-regulated","","","","31819778","details","","","","",""
"PCAT6","non small cell lung cancer","qPCR, Luciferase reporter assay, other","up-regulated","","","","30464520","details","","","","",""
"PCAT6","non small cell lung cancer","qPCR, RIP, Western blot, other","up-regulated","","","","30314898","details","","","","",""
"PCAT6","lung cancer","qPCR","differential expression","","","","31336224","details","","","","",""
"PCAT6","non small cell lung cancer","qPCR etc.","up-regulated","","","","29238201","details","","","","",""
"PCAT6","lung cancer","qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","27458097","details","","","","",""
"PCAT7","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","29275424","details","","","","",""
"PCNA-AS1","non small cell lung cancer","qPCR, Western blot etc","up-regulated","","","","32194807","details","","","","",""
"PDIA3P","non small cell lung cancer","qRT-PCR, Western blotting etc.","up-regulated","","","","31572559","details","","","","",""
"PICART1","lung cancer","qPCR, Western blot, in vitro knockdown","down-regulated","","","","29940776","details","","","","",""
"PICART1","Lung cancer","qPCR, Western blot, etc.","down-regulated","","","","30662662","details","","","","",""
"PICART1","lung cancer","qPCR, Western blot, etc.","down-regulated","","","","29940776","details","","","","",""
"PIK3CD-AS2","lung adenocarcinoma","qRT-PCR, Western blot","up-regulated","","","","32165621","details","","","","",""
"PLAC2","non small cell lung cancer","qPCR, etc.","down-regulated","","","","31500623","details","","","","",""
"PRKCZ-AS1","lung adenocarcinoma","RT-qPCR, Western blot assay, RIP, Luciferase reporter assay","up-regulated","","","","31939714","details","","","","",""
"PRNCR1","non small cell lung cancer","qRT-PCR, Western blot, Dual luciferase reporter assay, RIP","up-regulated","","","","31912882","details","","","","",""
"PRRG4-4","lung cancer","qPCR, other","up-regulated","","","","30362823","details","","","","",""
"PTAR","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","31485653","details","","","","",""
"PVT1","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32021261","details","","","","",""
"PVT1","non small cell lung cancer","qRT-qPCR","up-regulated","","","","32002028","details","","","","",""
"PVT1","non small cell lung cancer","RT-PCR","up-regulated","","","","31707347","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Western blot etc","up-regulated","","","","32202906","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc","up-regulated","","","","32197208","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","32184617","details","","","","",""
"PVT1","Non Small Cell Lung Cancer","qPCR, Luciferase reporter assay, RIP, Western blot","up-regulated","","","","30861415","details","","","","",""
"PVT1","lung cancer","Western blot, qPCR, luciferase assays","up-regulated","","","","28731781","details","","","","",""
"PVT1","lung cancer","qPCR, Luciferase reporter assay etc.","up-regulated","","","","28972861","details","","","","",""
"PVT1","small cell lung cancer","qPCR, RNAi, Cell proliferation assay, Cell migration and invasion assay etc.","up-regulated","","","","27904703","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Luciferase reporter assay, RIP","up-regulated","","","","29133127","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","26493997","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","29115513","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, Western blot etc.","differential expression","","","","28848163","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","26490983","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay etc.","up-regulated","","","","26908628","details","","","","",""
"PVT1","non small cell lung cancer","qPCR, RNAi etc.","up-regulated","","","","25400777","details","","","","",""
"PVT1-5","lung cancer","qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29277611","details","","","","",""
"PXN-AS1-L","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30679933","details","","","","",""
"RAB1A-2","lung cancer","qPCR, Western blot, other","up-regulated","","","","30217564","details","","","","",""
"RAET1K","lung adenocarcinoma","RT-PCR, Western blot","up-regulated","","","","32010197","details","","","","",""
"RAET1K","lung adenocarcinoma","qPCR","up-regulated","","","","30125988","details","","","","",""
"RERT","lung cancer","qPCR","up-regulated","","","","30073577","details","","","","",""
"RGMB-AS1","lung adenocarcinoma","Microarray, qPCR, Western blot etc.","down-regulated","","","","26950071","details","","","","",""
"RGMB-AS1","non small cell lung cancer","Microarray, qPCR, Western blot etc.","up-regulated","","","","26055877","details","","","","",""
"RHPN1-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","30010468","details","","","","",""
"RHPN1-AS1","non small cell lung cancer","PCR, RNA pull-down assay, Luciferase reporter assay, Western blot analysis","down-regulated","","","","30010468","details","","","","",""
"RMRP","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31050363","details","","","","",""
"RMRP","lung cancer","qPCR","up-regulated","","","","30098474","details","","","","",""
